Iteration,numThreads,range,size,minTxOps,minNonTxOps,ReadOnlyFrac,throughputOps,throughputTxs,aborts,elapsedTime,numReadOps,numWriteOps,operations,,,,
80,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,3,0,1021,10,1031,,,,
81,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,1372,10,1382,,,,
82,2,2048,1024,10,10,0.5,842000,2000,2,0.001,832,10,842,,,,
83,2,2048,1024,10,10,0.5,467000,2000,2,0.001,457,10,467,,,,
84,2,2048,1024,10,10,0.5,723000,2000,2,0.001,713,10,723,,,,
85,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,865,10,875,,,,
86,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,3,0,1169,10,1179,,,,
87,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,1298,10,1308,,,,
88,2,2048,1024,10,10,0.5,112000,2000,1,0.001,102,10,112,,,,
89,2,2048,1024,10,10,0.5,20000,2000,1,0.001,0,20,20,,,,
90,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,648,10,658,,,,
91,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,1191,10,1201,,,,
92,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,474,10,484,,,,
93,2,2048,1024,10,10,0.5,16000,2000,1,0.001,6,10,16,,,,
94,2,2048,1024,10,10,0.5,20000,2000,1,0.001,0,20,20,,,,
95,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,3,0,860,10,870,,,,
96,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,235,0,235,,,,
97,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,1284,0,1284,,,,
98,2,2048,1024,10,10,0.5,20000,2000,2,0.001,0,20,20,,,,
99,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,677,0,677,,,,
0,4,2048,1024,10,10,0.5,213166,666,4,0.006,1269,10,1279,,,,
1,4,2048,1024,10,10,0.5,1427000,4000,3,0.001,1417,10,1427,,,,
2,4,2048,1024,10,10,0.5,1577000,4000,5,0.001,1557,20,1577,,,,
3,4,2048,1024,10,10,0.5,447000,4000,2,0.001,417,30,447,,,,
4,4,2048,1024,10,10,0.5,1790000,4000,3,0.001,1770,20,1790,,,,
5,4,2048,1024,10,10,0.5,879000,4000,1,0.001,849,30,879,,,,
6,4,2048,1024,10,10,0.5,1237000,2000,4,0.002,2464,10,2474,,,,
7,4,2048,1024,10,10,0.5,1168000,4000,2,0.001,1138,30,1168,,,,
8,4,2048,1024,10,10,0.5,61000,4000,2,0.001,21,40,61,,,,
9,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,4,0,1244,20,1264,,,,
10,4,2048,1024,10,10,0.5,977000,4000,4,0.001,957,20,977,,,,
11,4,2048,1024,10,10,0.5,20000,2000,1,0.002,0,40,40,,,,
12,4,2048,1024,10,10,0.5,2454000,4000,2,0.001,2454,0,2454,,,,
13,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,5,0,2066,20,2086,,,,
14,4,2048,1024,10,10,0.5,1519000,4000,4,0.001,1489,30,1519,,,,
15,4,2048,1024,10,10,0.5,2597000,4000,7,0.001,2587,10,2597,,,,
16,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,4,0,2527,10,2537,,,,
17,4,2048,1024,10,10,0.5,1831000,4000,3,0.001,1811,20,1831,,,,
18,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,4,0,1957,10,1967,,,,
19,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,5,0,1989,20,2009,,,,
20,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,5,0,2186,20,2206,,,,
21,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,5,0,2933,20,2953,,,,
22,4,2048,1024,10,10,0.5,1597000,4000,5,0.001,1557,40,1597,,,,
23,4,2048,1024,10,10,0.5,697000,4000,2,0.001,677,20,697,,,,
24,4,2048,1024,10,10,0.5,1885000,4000,2,0.001,1865,20,1885,,,,
25,4,2048,1024,10,10,0.5,903000,4000,5,0.001,873,30,903,,,,
26,4,2048,1024,10,10,0.5,2292000,4000,5,0.001,2282,10,2292,,,,
27,4,2048,1024,10,10,0.5,1656000,4000,2,0.001,1636,20,1656,,,,
28,4,2048,1024,10,10,0.5,2298000,4000,1,0.001,2298,0,2298,,,,
29,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,3,0,2423,20,2443,,,,
30,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,6,0,2651,30,2681,,,,
31,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,930,10,940,,,,
32,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,5,0,1753,27,1780,,,,
33,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,4,0,1961,10,1971,,,,
34,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,4,0,1285,30,1315,,,,
35,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,1616,20,1636,,,,
36,4,2048,1024,10,10,0.5,217750,1000,2,0.004,841,30,871,,,,
37,4,2048,1024,10,10,0.5,2614000,4000,4,0.001,2604,10,2614,,,,
38,4,2048,1024,10,10,0.5,1879000,4000,4,0.001,1849,30,1879,,,,
39,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,5,0,1635,20,1655,,,,
40,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,3,0,1469,30,1499,,,,
41,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,4,0,3366,10,3376,,,,
42,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,3,0,1317,20,1337,,,,
43,4,2048,1024,10,10,0.5,1543000,4000,4,0.001,1523,20,1543,,,,
44,4,2048,1024,10,10,0.5,1696000,4000,3,0.001,1676,20,1696,,,,
45,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,2370,0,2370,,,,
46,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,8,0,940,50,990,,,,
47,4,2048,1024,10,10,0.5,2475000,4000,4,0.001,2465,10,2475,,,,
48,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,28,30,58,,,,
49,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,3,0,778,30,808,,,,
50,4,2048,1024,10,10,0.5,1734000,4000,5,0.001,1714,20,1734,,,,
51,4,2048,1024,10,10,0.5,1862000,4000,5,0.001,1842,20,1862,,,,
52,4,2048,1024,10,10,0.5,2432000,4000,4,0.001,2422,10,2432,,,,
53,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,4,0,299,40,339,,,,
54,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,4,0,2408,20,2428,,,,
55,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,1468,20,1488,,,,
56,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,3,0,366,30,396,,,,
57,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,3,0,1337,10,1347,,,,
58,4,2048,1024,10,10,0.5,2262000,4000,3,0.001,2242,20,2262,,,,
59,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,1489,20,1509,,,,
60,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,0,50,50,,,,
61,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,1099,10,1109,,,,
62,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,0,50,50,,,,
63,4,2048,1024,10,10,0.5,2624000,4000,3,0.001,2604,20,2624,,,,
64,4,2048,1024,10,10,0.5,1751000,4000,2,0.001,1741,10,1751,,,,
65,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,4,0,2504,20,2524,,,,
66,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,1051,20,1071,,,,
67,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,1757,0,1757,,,,
68,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,6,0,1698,40,1738,,,,
69,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,0,40,40,,,,
70,4,2048,1024,10,10,0.5,3311000,4000,4,0.001,3301,10,3311,,,,
71,4,2048,1024,10,10,0.5,1620000,4000,1,0.001,1620,0,1620,,,,
72,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,32,30,62,,,,
73,4,2048,1024,10,10,0.5,2740000,4000,4,0.001,2720,20,2740,,,,
74,4,2048,1024,10,10,0.5,1125000,4000,3,0.001,1105,20,1125,,,,
75,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,3,0,1311,20,1331,,,,
76,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,218,36,254,,,,
77,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,2216,10,2226,,,,
78,4,2048,1024,10,10,0.5,1242000,4000,4,0.001,1212,30,1242,,,,
79,4,2048,1024,10,10,0.5,2369000,4000,5,0.001,2349,20,2369,,,,
80,4,2048,1024,10,10,0.5,2792000,4000,3,0.001,2782,10,2792,,,,
81,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,4,0,2555,10,2565,,,,
82,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,762,10,772,,,,
83,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,4,0,1111,20,1131,,,,
84,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,3,0,418,20,438,,,,
85,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,3,0,1062,20,1082,,,,
86,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,1697,10,1707,,,,
87,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,3,0,940,30,970,,,,
88,4,2048,1024,10,10,0.5,1625000,4000,3,0.001,1605,20,1625,,,,
89,4,2048,1024,10,10,0.5,49000,4000,2,0.001,0,49,49,,,,
90,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,4,0,2913,20,2933,,,,
91,4,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,4,0,1518,30,1548,,,,
92,4,2048,1024,10,10,0.5,1883000,4000,3,0.001,1873,10,1883,,,,
93,4,2048,1024,10,10,0.5,2332000,4000,3,0.001,2322,10,2332,,,,
94,4,2048,1024,10,10,0.5,1419000,4000,5,0.001,1399,20,1419,,,,
95,4,2048,1024,10,10,0.5,3510000,4000,3,0.001,3490,20,3510,,,,
96,4,2048,1024,10,10,0.5,3278000,4000,4,0.001,3268,10,3278,,,,
97,4,2048,1024,10,10,0.5,1045000,4000,4,0.001,1025,20,1045,,,,
98,4,2048,1024,10,10,0.5,2789000,4000,1,0.001,2789,0,2789,,,,
99,4,2048,1024,10,10,0.5,3294000,4000,3,0.001,3284,10,3294,,,,
0,8,2048,1024,10,10,0.5,198000,1142,7,0.007,1346,40,1386,,,,
1,8,2048,1024,10,10,0.5,172000,8000,4,0.001,78,94,172,,,,
2,8,2048,1024,10,10,0.5,768500,4000,7,0.002,1467,70,1537,,,,
3,8,2048,1024,10,10,0.5,1544000,4000,6,0.002,3048,40,3088,,,,
4,8,2048,1024,10,10,0.5,2353500,4000,6,0.002,4687,20,4707,,,,
5,8,2048,1024,10,10,0.5,1923750,2000,22,0.004,7665,30,7695,,,,
6,8,2048,1024,10,10,0.5,1773000,8000,6,0.001,1723,50,1773,,,,
7,8,2048,1024,10,10,0.5,1018000,8000,8,0.001,958,60,1018,,,,
8,8,2048,1024,10,10,0.5,4837000,8000,24,0.001,4797,40,4837,,,,
9,8,2048,1024,10,10,0.5,1346000,2666,8,0.003,3988,50,4038,,,,
10,8,2048,1024,10,10,0.5,2167000,4000,8,0.002,4304,30,4334,,,,
11,8,2048,1024,10,10,0.5,2794000,8000,7,0.001,2744,50,2794,,,,
12,8,2048,1024,10,10,0.5,2379000,8000,5,0.001,2319,60,2379,,,,
13,8,2048,1024,10,10,0.5,3676000,8000,10,0.001,3636,40,3676,,,,
14,8,2048,1024,10,10,0.5,3460000,8000,4,0.001,3430,30,3460,,,,
15,8,2048,1024,10,10,0.5,2305000,8000,6,0.001,2250,55,2305,,,,
16,8,2048,1024,10,10,0.5,3934000,8000,6,0.001,3904,30,3934,,,,
17,8,2048,1024,10,10,0.5,3338000,8000,4,0.001,3298,40,3338,,,,
18,8,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,12,0,4484,56,4540,,,,
19,8,2048,1024,10,10,0.5,5667000,8000,14,0.001,5607,60,5667,,,,
20,8,2048,1024,10,10,0.5,5391000,8000,8,0.001,5331,60,5391,,,,
21,8,2048,1024,10,10,0.5,355000,1600,4,0.005,1705,70,1775,,,,
22,8,2048,1024,10,10,0.5,1945000,4000,8,0.002,3860,30,3890,,,,
23,8,2048,1024,10,10,0.5,1112000,8000,6,0.001,1039,73,1112,,,,
24,8,2048,1024,10,10,0.5,2907500,4000,5,0.002,5795,20,5815,,,,
25,8,2048,1024,10,10,0.5,1945000,8000,3,0.001,1885,60,1945,,,,
26,8,2048,1024,10,10,0.5,4814000,8000,11,0.001,4764,50,4814,,,,
27,8,2048,1024,10,10,0.5,6353000,8000,10,0.001,6323,30,6353,,,,
28,8,2048,1024,10,10,0.5,652000,8000,3,0.001,592,60,652,,,,
29,8,2048,1024,10,10,0.5,1872000,8000,6,0.001,1821,51,1872,,,,
30,8,2048,1024,10,10,0.5,2155000,8000,9,0.001,2085,70,2155,,,,
31,8,2048,1024,10,10,0.5,2985000,8000,5,0.001,2925,60,2985,,,,
32,8,2048,1024,10,10,0.5,3114000,8000,6,0.001,3084,30,3114,,,,
33,8,2048,1024,10,10,0.5,6242000,8000,8,0.001,6202,40,6242,,,,
34,8,2048,1024,10,10,0.5,1707000,4000,1,0.002,3404,10,3414,,,,
35,8,2048,1024,10,10,0.5,3596000,8000,4,0.001,3556,40,3596,,,,
36,8,2048,1024,10,10,0.5,2165000,4000,4,0.002,4300,30,4330,,,,
37,8,2048,1024,10,10,0.5,2116000,8000,2,0.001,2096,20,2116,,,,
38,8,2048,1024,10,10,0.5,2821000,8000,7,0.001,2771,50,2821,,,,
39,8,2048,1024,10,10,0.5,1374000,4000,3,0.002,2708,40,2748,,,,
40,8,2048,1024,10,10,0.5,2280500,4000,7,0.002,4521,40,4561,,,,
41,8,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,7,0,2483,40,2523,,,,
42,8,2048,1024,10,10,0.5,3175000,8000,13,0.001,3135,40,3175,,,,
43,8,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,3,0,1129,50,1179,,,,
44,8,2048,1024,10,10,0.5,2029000,8000,6,0.001,1969,60,2029,,,,
45,8,2048,1024,10,10,0.5,4493000,8000,8,0.001,4442,51,4493,,,,
46,8,2048,1024,10,10,0.5,1937500,4000,2,0.002,3845,30,3875,,,,
47,8,2048,1024,10,10,0.5,3292000,8000,4,0.001,3262,30,3292,,,,
48,8,2048,1024,10,10,0.5,2168000,8000,5,0.001,2118,50,2168,,,,
49,8,2048,1024,10,10,0.5,1881000,4000,4,0.002,3722,40,3762,,,,
50,8,2048,1024,10,10,0.5,1665000,8000,2,0.001,1635,30,1665,,,,
51,8,2048,1024,10,10,0.5,3527000,8000,8,0.001,3487,40,3527,,,,
52,8,2048,1024,10,10,0.5,2931000,4000,7,0.002,5822,40,5862,,,,
53,8,2048,1024,10,10,0.5,5085000,8000,7,0.001,5055,30,5085,,,,
54,8,2048,1024,10,10,0.5,3842000,8000,6,0.001,3792,50,3842,,,,
55,8,2048,1024,10,10,0.5,4744000,8000,8,0.001,4694,50,4744,,,,
56,8,2048,1024,10,10,0.5,5034000,8000,11,0.001,4984,50,5034,,,,
57,8,2048,1024,10,10,0.5,2476000,8000,4,0.001,2426,50,2476,,,,
58,8,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,876,70,946,,,,
59,8,2048,1024,10,10,0.5,1071000,8000,4,0.001,1011,60,1071,,,,
60,8,2048,1024,10,10,0.5,1218000,8000,2,0.001,1148,70,1218,,,,
61,8,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,8,0,2827,70,2897,,,,
62,8,2048,1024,10,10,0.5,3790000,8000,5,0.001,3750,40,3790,,,,
63,8,2048,1024,10,10,0.5,1560500,4000,2,0.002,3091,30,3121,,,,
64,8,2048,1024,10,10,0.5,2217000,8000,7,0.001,2157,60,2217,,,,
65,8,2048,1024,10,10,0.5,1757000,8000,8,0.001,1677,80,1757,,,,
66,8,2048,1024,10,10,0.5,9228000,8000,12,0.001,9198,30,9228,,,,
67,8,2048,1024,10,10,0.5,3522000,8000,10,0.001,3456,66,3522,,,,
68,8,2048,1024,10,10,0.5,3152000,8000,5,0.001,3102,50,3152,,,,
69,8,2048,1024,10,10,0.5,3266000,8000,10,0.001,3206,60,3266,,,,
70,8,2048,1024,10,10,0.5,6346000,8000,12,0.001,6286,60,6346,,,,
71,8,2048,1024,10,10,0.5,2678000,8000,1,0.001,2648,30,2678,,,,
72,8,2048,1024,10,10,0.5,2968000,8000,4,0.001,2908,60,2968,,,,
73,8,2048,1024,10,10,0.5,7462000,8000,9,0.001,7432,30,7462,,,,
74,8,2048,1024,10,10,0.5,4200000,8000,8,0.001,4151,49,4200,,,,
75,8,2048,1024,10,10,0.5,2324000,8000,4,0.001,2294,30,2324,,,,
76,8,2048,1024,10,10,0.5,3425000,8000,4,0.001,3405,20,3425,,,,
77,8,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,9,0,7088,30,7118,,,,
78,8,2048,1024,10,10,0.5,2885000,8000,4,0.001,2845,40,2885,,,,
79,8,2048,1024,10,10,0.5,3778000,8000,7,0.001,3719,59,3778,,,,
80,8,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,4,0,2010,32,2042,,,,
81,8,2048,1024,10,10,0.5,7007000,8000,14,0.001,6937,70,7007,,,,
82,8,2048,1024,10,10,0.5,5498000,8000,12,0.001,5468,30,5498,,,,
83,8,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,6,0,1781,95,1876,,,,
84,8,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,5,0,2633,40,2673,,,,
85,8,2048,1024,10,10,0.5,4730000,8000,11,0.001,4710,20,4730,,,,
86,8,2048,1024,10,10,0.5,3210000,8000,6,0.001,3180,30,3210,,,,
87,8,2048,1024,10,10,0.5,2255500,4000,15,0.002,4461,50,4511,,,,
88,8,2048,1024,10,10,0.5,4443000,8000,12,0.001,4403,40,4443,,,,
89,8,2048,1024,10,10,0.5,5018000,8000,8,0.001,4978,40,5018,,,,
90,8,2048,1024,10,10,0.5,3859000,8000,8,0.001,3809,50,3859,,,,
91,8,2048,1024,10,10,0.5,2592500,4000,7,0.002,5165,20,5185,,,,
92,8,2048,1024,10,10,0.5,4096000,8000,5,0.001,4056,40,4096,,,,
93,8,2048,1024,10,10,0.5,3821000,8000,4,0.001,3811,10,3821,,,,
94,8,2048,1024,10,10,0.5,1921000,8000,6,0.001,1853,68,1921,,,,
95,8,2048,1024,10,10,0.5,2825000,8000,8,0.001,2785,40,2825,,,,
96,8,2048,1024,10,10,0.5,6445000,8000,9,0.001,6425,20,6445,,,,
97,8,2048,1024,10,10,0.5,1641000,8000,5,0.001,1571,70,1641,,,,
98,8,2048,1024,10,10,0.5,4248000,8000,9,0.001,4218,30,4248,,,,
99,8,2048,1024,10,10,0.5,3422000,8000,5,0.001,3382,40,3422,,,,
0,16,2048,1024,10,10,0.5,704857,2285,82,0.007,4815,119,4934,,,,
1,16,2048,1024,10,10,0.5,997800,3200,17,0.005,4899,90,4989,,,,
2,16,2048,1024,10,10,0.5,518333,2666,8,0.006,2950,160,3110,,,,
3,16,2048,1024,10,10,0.5,3400750,4000,16,0.004,13583,20,13603,,,,
4,16,2048,1024,10,10,0.5,1490333,5333,8,0.003,4371,100,4471,,,,
5,16,2048,1024,10,10,0.5,4093333,5333,19,0.003,12170,110,12280,,,,
6,16,2048,1024,10,10,0.5,5393500,8000,14,0.002,10747,40,10787,,,,
